# Rounds: 100, Loops: 100, Buffer: 1000
#Round	Pages amount	Used pages	Alloc pages	Free memory
1	26	25	106	1
2	48	47	196	1
3	66	65	270	2
4	84	83	344	1
5	96	94	393	4
6	108	107	442	3
7	119	118	487	4
8	137	135	561	4
9	151	150	618	2
10	157	155	643	5
11	165	163	675	7
12	176	175	720	2
13	186	185	761	2
14	199	197	815	5
15	208	205	851	8
16	213	211	872	6
17	217	215	888	5
18	216	214	884	6
19	221	219	905	6
20	222	220	909	5
21	228	225	933	11
22	226	223	925	10
23	237	231	970	22
24	240	235	983	18
25	233	229	954	14
26	241	237	987	15
27	241	237	987	14
28	242	237	991	17
29	245	240	1003	18
30	244	241	999	10
31	243	240	995	11
32	237	234	970	9
33	242	239	991	10
34	257	254	1052	12
35	260	256	1064	12
36	252	248	1032	14
37	252	248	1032	14
38	253	248	1036	17
39	254	251	1040	11
40	253	250	1036	9
41	252	247	1032	16
42	241	238	987	11
43	237	233	970	12
44	242	236	991	23
45	243	238	995	20
46	250	244	1024	24
47	247	240	1011	28
48	246	241	1007	17
49	249	244	1019	19
50	250	244	1024	20
51	256	250	1048	22
52	264	255	1081	33
53	261	255	1069	21
54	257	253	1052	12
55	261	258	1069	11
56	267	261	1093	22
57	261	257	1069	13
58	250	246	1024	15
59	247	242	1011	17
60	251	247	1028	14
61	253	247	1036	22
62	252	244	1032	29
63	248	242	1015	22
64	252	246	1032	20
65	245	243	1003	7
66	252	248	1032	13
67	252	247	1032	16
68	254	250	1040	13
69	261	255	1069	22
70	258	254	1056	16
71	261	253	1069	29
72	256	248	1048	32
73	258	250	1056	32
74	253	246	1036	28
75	252	244	1032	31
76	250	242	1024	32
77	253	242	1036	42
78	257	245	1052	48
79	252	238	1032	54
80	250	236	1024	53
81	255	243	1044	49
82	256	244	1048	48
83	256	244	1048	48
84	251	242	1028	36
85	252	244	1032	30
86	252	244	1032	29
87	254	248	1040	24
88	250	245	1024	18
89	250	241	1024	35
90	261	249	1069	45
91	254	243	1040	43
92	252	240	1032	47
93	254	244	1040	39
94	251	245	1028	22
95	252	246	1032	24
96	257	252	1052	20
97	267	260	1093	24
98	271	264	1110	28
99	264	256	1081	29
100	267	259	1093	28
